Geo Name2,Measure for Color,TT Measure Count PA Total when Percent Selected,TT Measure Percent when Percent Selected,TT Legislator Sentence,TT LHS Measure PA Total when Percent Selected,TT LHS Measure when Density Selected,TT LHS Measure when Percent Selected,TT LHS Population when Density Selected,TT Newline when Density Selected,TT Newline when District Selected,TT Newline when Percent Selected,"TT Selected Measure, Mode, Univ",Geometry,Latitude (generated),Longitude (generated),TT Measure Count when Count Selected,TT Measure Count when Density Selected,TT Measure Count when Percent Selected,TT Measure Density when Density Selected,TT Population Number when Density Selected
Crawford County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.606358676,-80.031487248,,0,,0.0%,"88,765"
Columbia County,0.001485995,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.900758671,-76.490568264,,1,,0.0%,"67,295"
Clinton County,0.002548550,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.190516621,-77.593838578,,1,,0.0%,"39,238"
Clearfield County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.906044923,-78.221193808,,0,,0.0%,"81,642"
Clarion County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.035144589,-79.464661377,,0,,0.0%,"39,988"
Chester County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,MultiPolygon,39.928177843,-75.842577810,,0,,0.0%,"498,886"
Centre County,0.001298786,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.947777005,-78.101086640,,2,,0.0%,"153,990"
Carbon County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.072338946,-75.678668759,,0,,0.0%,"65,249"
Cameron County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.431075568,-78.223805149,,0,,0.0%,"5,085"
Cambria County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.417268725,-78.729433406,,0,,0.0%,"143,679"
Butler County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.938448429,-79.922771996,,0,,0.0%,"183,862"
Bucks County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.292466154,-75.013018781,,0,,0.0%,"625,249"
Bradford County,0.043115838,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.780582047,-76.460933716,,27,,0.0%,"62,622"
Blair County,0.000786850,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.550144425,-78.271573229,,1,,0.0%,"127,089"
Berks County,0.000243048,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.464057217,-76.018388379,,1,,0.0%,"411,442"
Bedford County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,39.995367754,-78.426858224,,0,,0.0%,"49,762"
Beaver County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.615975153,-80.205805153,,0,,0.0%,"170,539"
Armstrong County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.892050992,-79.477317639,,0,,0.0%,"68,941"
Allegheny County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.477417635,-79.888162894,,0,,0.0%,"1,223,348"
Adams County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,39.912388995,-77.021244279,,0,,0.0%,"101,407"
